title,available_globally?,release_date,hours_viewed,month,year,season_number,show_name
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,2023-01-27,134800000,January,2023.0,1,The Snow Girl // La chica de nieve: Temporada 1
Stranger Things 4,Yes,2022-05-27,133600000,May,2022.0,,Stranger Things 4
The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,2022-04-20,133500000,April,2022.0,1,The Marked Heart // Pálpito: Temporada 1
Bridgerton: Season 2,Yes,2022-03-25,133400000,March,2022.0,2,Bridgerton
Little Angel: Volume 1,Yes,,132100000,,,,Little Angel: Volume 1
PAW Patrol: Season 5,No,,130700000,,,5,PAW Patrol
Pasión de Gavilanes: Season 1,No,,129200000,,,1,Pasión de Gavilanes
Suits (2011): Season 1,Yes,,129100000,,,1,Suits (2011)
Sex/Life: Season 1,Yes,2021-06-25,126400000,June,2021.0,1,Sex/Life
We Have a Ghost,Yes,2023-02-24,124400000,February,2023.0,,We Have a Ghost
You: Season 1,Yes,2018-12-26,123500000,December,2018.0,1,You
Business Proposal: Season 1 // 사내맞선: 시즌 1,Yes,2022-02-28,120700000,February,2022.0,1,Business Proposal // 사내맞선: 시즌 1
The Pale Blue Eye,Yes,2023-01-06,120500000,January,2023.0,,The Pale Blue Eye
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,Yes,2019-12-14,120300000,December,2019.0,1,Crash Landing on You // 사랑의 불시착: 시즌 1
AKA,Yes,2023-04-28,120000000,April,2023.0,,AKA
MH370: The Plane That Disappeared: Limited Series,Yes,2023-03-08,118900000,March,2023.0,,MH370: The Plane That Disappeared: Limited Series
Queenmaker: Season 1 // 퀸메이커: 시즌 1,Yes,2023-04-14,118600000,April,2023.0,1,Queenmaker // 퀸메이커: 시즌 1
Vikings: Valhalla: Season 1,Yes,2022-02-25,116500000,February,2022.0,1,Vikings: Valhalla
Breaking Bad: Season 2,No,,116200000,,,2,Breaking Bad
Muted: Limited Series // El silencio: Miniserie,Yes,2023-05-19,115800000,May,2023.0,,Muted: Limited Series // El silencio: Miniserie
Lockwood & Co.: Season 1,Yes,2023-01-27,113600000,January,2023.0,1,Lockwood & Co.
You: Season 3,Yes,2021-10-15,107200000,October,2021.0,3,You
Breaking Bad: Season 5,No,,107000000,,,5,Breaking Bad
Suits (2011): Season 2,Yes,,106600000,,,2,Suits (2011)
Murdaugh Murders: A Southern Scandal: Season 1,Yes,2023-02-22,104600000,February,2023.0,1,Murdaugh Murders: A Southern Scandal
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,Yes,2023-04-21,104500000,April,2023.0,2,Welcome to Eden // Bienvenidos a Edén: Temporada 2
Breaking Bad: Season 3,No,,104300000,,,3,Breaking Bad
Lucifer: Season 3,No,2017-10-03,102800000,October,2017.0,3,Lucifer
CoComelon: Season 2,No,2020-12-17,102300000,December,2020.0,2,CoComelon
Café con aroma de mujer: Season 1,No,2021-12-29,101700000,December,2021.0,1,Café con aroma de mujer
Love to Hate You: Season 1 // 연애대전: 시즌 1,Yes,2023-02-10,99900000,February,2023.0,1,Love to Hate You // 연애대전: 시즌 1
The Blacklist: Season 1,No,,99900000,,,1,The Blacklist
Shadow and Bone: Season 1,Yes,2021-04-23,99500000,April,2021.0,1,Shadow and Bone
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",No,2022-11-23,99000000,November,2022.0,1,"The Unbroken Voice // Canto para no llorar, Arelys Henao: Temporada 1"
Designated Survivor: Season 1,Yes,2016-09-22,98500000,September,2016.0,1,Designated Survivor
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,Yes,2022-12-21,97800000,December,2022.0,,The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,No,2022-05-20,97600000,May,2022.0,1,Wrong Side of the Tracks // Entrevías: Temporada 1
Minions: The Rise of Gru,No,,96400000,,,,Minions: The Rise of Gru
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",No,,95800000,,,,"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編"
The Blacklist: Season 9,No,,95700000,,,9,The Blacklist
That '90s Show: Part 1,Yes,2023-01-19,95100000,January,2023.0,,That '90s Show: Part 1
You: Season 2,Yes,2019-12-26,95000000,December,2019.0,2,You
La Reina del Sur: Season 1,No,2011-09-05,94700000,September,2011.0,1,La Reina del Sur
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,2022-01-28,94600000,January,2022.0,1,All of Us Are Dead // 지금 우리 학교는: 시즌 1
New Amsterdam (2018): Season 2,No,,94400000,,,2,New Amsterdam (2018)
Black Knight: Season 1 // 택배기사: 시즌 1,Yes,2023-05-12,94300000,May,2023.0,1,Black Knight // 택배기사: 시즌 1
Breaking Bad: Season 4,No,,94300000,,,4,Breaking Bad
Obsession: Limited Series,Yes,2023-04-13,94200000,April,2023.0,,Obsession: Limited Series
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,Yes,2023-03-24,92900000,March,2023.0,,Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi
La Reina del Sur: Season 2,No,2019-08-16,92500000,August,2019.0,2,La Reina del Sur
Hunger // คนหิว เกมกระหาย,Yes,2023-04-08,92300000,April,2023.0,,Hunger // คนหิว เกมกระหาย
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,2020-12-10,92200000,December,2020.0,1,Alice in Borderland // 今際の国のアリス: シーズン1
CoComelon: Season 3,No,2021-05-31,91400000,May,2021.0,3,CoComelon
Firefly Lane: Season 1,Yes,2021-02-03,91200000,February,2021.0,1,Firefly Lane
Women at War: Limited Series // Les Combattantes: Mini-série,Yes,2022-10-27,90800000,October,2022.0,,Women at War: Limited Series // Les Combattantes: Mini-série
Formula 1: Drive to Survive: Season 5,Yes,2023-02-24,90200000,February,2023.0,5,Formula 1: Drive to Survive
Sweet Tooth: Season 1,Yes,2021-06-04,89000000,June,2021.0,1,Sweet Tooth
S.W.A.T. (2017): Season 1,No,,88600000,,,1,S.W.A.T. (2017)
Murder Mystery,Yes,2019-06-14,87900000,June,2019.0,,Murder Mystery
True Beauty // 여신강림,No,,87300000,,,,True Beauty // 여신강림
Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,2021-09-17,87200000,September,2021.0,1,Squid Game // 오징어 게임: 시즌 1
Little Angel: Volume 2,Yes,,86200000,,,,Little Angel: Volume 2
Manifest: Season 2,No,2021-06-10,86200000,June,2021.0,2,Manifest
Extraction,Yes,2020-04-24,86100000,April,2020.0,,Extraction
Lucifer: Season 2,No,2017-08-31,86100000,August,2017.0,2,Lucifer
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,Yes,2022-12-31,86000000,December,2022.0,,Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie
Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,2022-11-15,85400000,November,2022.0,1,Woman of the Dead // Totenfrau
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,2023-02-15,85000000,February,2023.0,1,The Law According to Lidia Poët // La legge di Lidia Poët: Stagione 1
Florida Man: Limited Series,Yes,2023-04-13,84600000,April,2023.0,,Florida Man: Limited Series
Lucifer: Season 1,No,2017-07-23,84400000,July,2017.0,1,Lucifer
Shahmaran: Season 1 // Şahmaran: Season 1,Yes,2023-01-20,83600000,January,2023.0,1,Shahmaran // Şahmaran
Breaking Bad: Season 1,No,,83200000,,,1,Breaking Bad
The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14,83200000,April,2023.0,,The Last Kingdom: Seven Kings Must Die
